F1,Accuracy,Precision,Recall,Features
0.954704461,0.958260105,0.960668098,0.954034817,sess;tcp;ssl;ntp
0.952573331,0.952108963,0.954906246,0.951952054,sess;tcp;bootp;ssdp
0.934091467,0.939806678,0.937061648,0.932914437,sess;tcp;bootp;classicstun
0.913732174,0.916959578,0.914864475,0.913317232,sess;tcp;bootp;ntp
0.952702837,0.952108963,0.956722881,0.953088246,sess;tcp;ssdp;classicstun
0.947657394,0.949033392,0.948865884,0.947131879,sess;tcp;ssdp;ntp
0.932026993,0.934973638,0.937270996,0.931086367,sess;tcp;classicstun;ntp
0.958383292,0.960017575,0.959800657,0.957706976,sess;http;mqtt;dns
0.891867244,0.898945518,0.898266161,0.890293954,sess;http;mqtt;mdns
0.903265625,0.908611599,0.90832725,0.902147542,sess;http;mqtt;quic
0.953945868,0.958260105,0.967085976,0.953577084,sess;http;mqtt;ssl
0.902816996,0.907732865,0.902886707,0.903364577,sess;http;mqtt;bootp
0.937278501,0.944200351,0.940479103,0.935447737,sess;http;mqtt;ssdp
0.914458612,0.916080844,0.918516062,0.912113764,sess;http;mqtt;classicstun
0.903271592,0.904657293,0.90320178,0.904417152,sess;http;mqtt;ntp
0.964371172,0.96572935,0.966450296,0.962726284,sess;http;dns;mdns
0.958788577,0.959578207,0.958343489,0.95936866,sess;http;dns;quic
0.965289167,0.969244288,0.97180083,0.963534563,sess;http;dns;ssl
0.966751555,0.967926186,0.967053628,0.966520413,sess;http;dns;bootp
0.964294902,0.96397188,0.966434819,0.962719158,sess;http;dns;ssdp
0.967201204,0.968365554,0.972735525,0.966429789,sess;http;dns;classicstun
0.964379654,0.966608084,0.96744923,0.962830471,sess;http;dns;ntp
0.894817542,0.90202109,0.897145734,0.893293348,sess;http;mdns;quic
0.958285072,0.964411248,0.96294721,0.956738395,sess;http;mdns;ssl
0.90363873,0.912126538,0.906588386,0.90202318,sess;http;mdns;bootp
0.942559576,0.945079086,0.943785498,0.942168835,sess;http;mdns;ssdp
0.912729472,0.919156415,0.921093527,0.910680594,sess;http;mdns;classicstun
0.900795408,0.905975395,0.903603681,0.89902438,sess;http;mdns;ntp
0.959053227,0.960456942,0.968067902,0.957960032,sess;http;quic;ssl
0.908287426,0.912565905,0.908156974,0.908964302,sess;http;quic;bootp
0.93481288,0.938488576,0.935779604,0.934265391,sess;http;quic;ssdp
0.913606293,0.917838313,0.917407613,0.912020669,sess;http;quic;classicstun
0.904339396,0.913005272,0.907347411,0.902651079,sess;http;quic;ntp
0.960165853,0.961775044,0.965874245,0.959535244,sess;http;ssl;bootp
0.955562939,0.95913884,0.967503878,0.954440743,sess;http;ssl;ssdp
0.969651328,0.971880492,0.975028939,0.967397767,sess;http;ssl;classicstun
0.954206857,0.958260105,0.960699976,0.95284719,sess;http;ssl;ntp
0.940629506,0.944639719,0.942094611,0.940196964,sess;http;bootp;ssdp
0.908926628,0.913884007,0.916111955,0.905375105,sess;http;bootp;classicstun
0.902134658,0.908611599,0.903851332,0.901545608,sess;http;bootp;ntp
0.949331396,0.951230228,0.953380193,0.948007004,sess;http;ssdp;classicstun
0.941077887,0.94288225,0.942273648,0.940153852,sess;http;ssdp;ntp
0.916441795,0.926625659,0.922563846,0.913863673,sess;http;classicstun;ntp
0.955966649,0.960896309,0.959074088,0.954655011,sess;mqtt;dns;mdns
0.960140565,0.961775044,0.96320049,0.958441565,sess;mqtt;dns;quic
0.964829579,0.961775044,0.968000223,0.963750952,sess;mqtt;dns;ssl
0.96261648,0.964850615,0.962916789,0.962388308,sess;mqtt;dns;bootp
0.963228552,0.96397188,0.965962807,0.962086672,sess;mqtt;dns;ssdp
0.965135767,0.963532513,0.969647047,0.964022262,sess;mqtt;dns;classicstun
0.961658919,0.963532513,0.96147052,0.961923521,sess;mqtt;dns;ntp
0.89427333,0.899384886,0.896197941,0.894124562,sess;mqtt;mdns;quic
0.957213429,0.957820738,0.964733869,0.955990186,sess;mqtt;mdns;ssl
